AAPL,GOOG,TSLA,XRP,SOL,DOGE,ETH,BIT,ADA,CRO,LTC,UNI,BNB
,,,0.22584819,2.16175192,0.00977052,975.50767291,32782.02446581,0.20499536,0.05976299,160.19058561,5.44703128,41.14898038
129.41,1728.24,729.77,0.23667712,2.48509738,0.00976719,1040.23304833,31971.91352155,0.22476238,0.06543096,154.80732008,5.40656561,40.92635471
131.01,1740.92,735.11,0.22675012,2.15721704,0.0099204,1100.00609944,33992.42934365,0.25831365,0.06634753,158.59477629,6.27929137,41.73459986
126.6,1735.29,755.98,0.25089517,1.92921661,0.01046514,1207.11223389,36824.36441009,0.33189849,0.07683116,169.01692345,6.40937474,42.16595486
130.92,1787.25,816.04,0.32600198,2.37274497,0.00974244,1225.67813488,39371.04235311,0.2999797,0.07781462,169.61595798,6.26771472,43.44949061
132.05,1807.21,880.02,0.32322959,3.21988746,0.00984637,1224.19714489,40797.61071993,0.30559684,0.08168134,173.27987445,5.88761164,42.39531707
,,,0.32691622,3.38538175,0.01019416,1281.07729102,40254.54649816,0.33297284,0.08285523,177.4839356,6.25130035,43.93285446
,,,0.31833641,3.46611077,0.00985959,1262.24666381,38356.43950662,0.3048953,0.07784684,171.11484357,5.99116286,42.44847546
128.98,1766.72,811.19,0.28890503,3.10808978,0.00883453,1090.14537315,35566.65594049,0.27546555,0.06689872,139.25223125,5.25150553,38.37136193
128.8,1746.55,849.44,0.29212313,3.61339822,0.00806287,1043.43458391,33922.9605815,0.28700303,0.06501227,132.63591652,5.5453677,38.11160883
130.89,1754.4,854.41,0.30557979,3.51378151,0.00861635,1130.73940242,37316.35939997,0.31360895,0.07122265,147.42134739,6.32484939,40.13593172
128.91,1740.18,845.0,0.29543791,3.27816427,0.00939673,1218.45297846,39187.32812109,0.31039577,0.07670484,152.08457372,6.87152013,41.79368392
127.14,1736.19,826.16,0.2804055,3.25016139,0.00936903,1171.83461074,36825.36585131,0.30253033,0.07195131,144.23754971,7.36007632,40.91898077
,,,0.28018836,3.44705468,0.00926465,1233.53756838,36178.13890106,0.352444,0.07665999,144.26541965,8.41865743,43.17182726
,,,0.27738365,3.8181391,0.00906651,1230.17227237,35791.27792129,0.37985223,0.08026681,142.43082129,8.6620615,45.68461122
,,,0.28476919,3.79551495,0.0091711,1257.27950247,36630.07568284,0.37142786,0.08507881,152.14408514,9.21562851,45.35317239
127.83,1790.86,844.55,0.2943137,3.64186566,0.0090982,1377.29584154,36069.80639361,0.36913696,0.08699337,153.48742764,8.64135045,42.78553342
132.03,1886.9,850.45,0.29651801,3.72357809,0.00906009,1382.27409433,35547.7508855,0.37539388,0.08465417,149.93142516,8.9825195,42.60689797
136.87,1891.25,844.99,0.26894641,2.9905359,0.00816632,1121.57091957,30825.69850603,0.31020871,0.07184703,130.13350488,7.60239984,38.64584075
139.07,1901.05,846.64,0.27279859,3.34622852,0.0085235,1236.51220729,33005.76356216,0.34957651,0.07380502,137.27145938,8.71697842,40.8575696
,,,0.27182148,3.50411155,0.00857912,1230.99063605,32067.64288212,0.34564349,0.07251682,137.75099018,9.30468023,40.8154796
,,,0.2735085,3.63441116,0.00872708,1391.60940757,32289.37808687,0.35388104,0.07266073,141.47731078,12.04650866,41.88160564
142.92,1899.4,880.8,0.26908877,3.69998081,0.00838293,1324.414778,32366.39304887,0.34388601,0.07113219,137.44420046,11.35221143,41.62370324
143.16,1917.24,883.09,0.26882663,4.04734996,0.00825458,1357.0581398,32569.84955679,0.34423363,0.07048403,134.75526433,13.84000205,41.69473571
142.06,1830.79,864.16,0.25194347,3.69058715,0.0074815,1253.18713315,30432.54707881,0.31308042,0.06531491,122.94947331,14.83348352,40.99487847
137.09,1863.11,835.43,0.26412208,3.82207194,0.03408356,1332.49224455,33466.09635821,0.3461287,0.0696611,133.48693077,14.20477366,42.52910584
131.96,1835.74,793.53,0.28218765,3.83467598,0.04716157,1382.52281244,34316.38765032,0.3481311,0.06810335,135.01257048,15.71157817,42.8523495
,,,0.44024444,4.22427558,0.02817592,1376.11553895,34269.52154165,0.36261874,0.06578421,133.40001778,19.46233967,44.77227836
,,,0.49231408,4.26414404,0.03719621,1314.9862286,33114.35774753,0.34489765,0.06276969,129.5708153,17.6662939,44.27599213
134.14,1901.35,839.81,0.37150866,4.61160184,0.03487468,1369.04046855,33537.1768196,0.40203323,0.06116023,131.95193202,20.4156725,51.60769628
134.99,1927.51,872.79,0.36927,5.2675076,0.03152025,1515.19376962,35510.28903716,0.42624709,0.06234366,142.50697498,19.08366191,51.05640444
133.94,2070.07,854.69,0.39348981,5.71598986,0.03712003,1660.909542,37472.09010368,0.44139965,0.06738417,155.61203291,19.7659071,52.24263599
137.39,2062.37,849.99,0.4464491,6.42606479,0.05328933,1594.76269414,36926.06446515,0.44105138,0.06361849,145.14818702,20.14545504,55.92512552
136.76,2098.0,852.23,0.45004704,6.6817203,0.04693473,1718.65087218,38144.30686267,0.53787367,0.06770392,154.85221567,21.18557362,67.84556675
,,,0.43909568,6.11080668,0.05759472,1677.84684697,39266.01073494,0.62788551,0.06765741,155.71474239,19.30009871,72.73360043
,,,0.41795756,6.70046276,0.07878179,1614.22782334,38903.44147971,0.66323787,0.06565157,151.14007922,18.68686418,68.59052075
136.91,2092.91,863.42,0.447702,7.8832496,0.07882511,1746.61684904,46196.46371944,0.68251076,0.06994476,167.21905755,19.34528104,79.83154155
136.01,2083.51,849.46,0.47199055,7.81679279,0.07006957,1768.03501655,46481.10423596,0.70351614,0.07200847,182.1144683,19.53385822,107.89927906
135.39,2095.38,804.82,0.5034453,9.07221406,0.07289631,1744.24343196,44918.18449192,0.93031849,0.07343014,182.1743915,20.74179976,129.73715081
135.13,2095.89,811.66,0.52478651,9.21535212,0.06967585,1783.79795026,47909.33119483,0.92774131,0.07999659,184.49599958,21.55499681,124.43425707
135.37,2104.11,816.12,0.60859231,9.24701198,0.07006853,1843.53258814,47504.85118326,0.92558739,0.08710031,197.23171013,22.74602037,136.94839191
,,,0.62899615,8.73245491,0.06644953,1814.10985253,47105.51747252,0.90571935,0.09153725,226.22760116,21.80675402,133.45268257
,,,0.5941931,8.73889575,0.06253697,1805.08404652,48717.2902111,0.84841862,0.08911482,214.430273,20.93077401,136.42651676
,,,0.54891537,8.8617388,0.05659087,1779.79097807,47945.05683234,0.86101193,0.0858379,207.68101945,20.06204541,129.56788016
133.19,2121.9,796.22,0.52084597,8.29786719,0.05352025,1781.06747722,49199.87134362,0.87095092,0.08459121,210.5465771,20.45751915,130.05666054
130.84,2128.31,798.15,0.53553723,8.22257719,0.04937563,1848.4582725,52149.00753587,0.89091968,0.10128049,236.97352307,21.4885262,164.67009984
129.71,2117.2,787.38,0.5324331,8.98045215,0.05954129,1937.44925643,51679.79669449,0.91411855,0.12042431,226.86954839,21.16178597,195.93263972
129.87,2101.14,781.3,0.56701857,11.46565287,0.05513934,1960.16474353,55888.13368221,0.9276491,0.13763397,236.67601167,20.07491187,332.61603256
,,,0.51751221,10.00266398,0.05438446,1919.5340028,56099.52051348,1.12295796,0.13878739,227.61989221,29.14038501,255.95373113
,,,0.54856014,11.08551283,0.05597983,1935.60106022,57539.9436679,1.10051956,0.14060037,227.23135545,28.82971549,293.92359148
126.0,2064.88,714.5,0.57174115,14.45478487,0.05372515,1781.99297558,54207.31906543,1.09915079,0.22026077,208.10679546,27.71704643,267.50980645
125.86,2070.86,698.84,0.47356259,15.20153822,0.04739205,1570.20392529,48824.42686909,0.95470914,0.15915179,176.93491521,24.5766447,230.99425179
125.35,2095.17,742.02,0.47183151,17.30270709,0.05655541,1626.57570543,49705.33331637,1.05165663,0.1601389,181.37850129,25.25514648,254.35913166
120.99,2031.36,682.22,0.43452354,13.81601413,0.05016734,1475.70373513,47093.85301914,1.0791162,0.1555046,178.90184288,23.2711704,233.88595612
121.26,2036.86,675.5,0.42790019,13.58794089,0.05047986,1446.0336503,46339.76008289,1.24110539,0.15498058,170.39815323,23.07451171,221.68042929
,,,0.43780898,13.20116764,0.0500829,1459.97312093,46188.45127539,1.32486029,0.15121904,172.10044726,23.45471967,225.2494434
,,,0.41495318,13.08924694,0.04805151,1416.0489059,45137.77046805,1.30805905,0.13425579,164.92717308,22.18955961,209.57440411
127.79,2081.51,718.43,0.44724414,14.95558764,0.05059866,1564.70764686,49631.24137077,1.29238787,0.1495617,175.23790535,25.44464301,254.62993345
125.12,2075.84,686.44,0.43683726,13.95892139,0.05026221,1492.60881427,48378.98805435,1.22558215,0.15228873,177.87243611,25.60691279,239.52253899
122.06,2026.71,653.2,0.45027913,14.11559058,0.05059207,1575.85312451,50538.24341445,1.21659321,0.15770535,188.5256632,25.4664093,241.0913696
120.13,2049.09,621.44,0.48660534,13.09798332,0.05004843,1541.91428551,48561.1661539,1.114868,0.15081868,181.07864812,28.26248115,229.94506397
121.42,2108.54,597.95,0.45811912,12.61044281,0.04960851,1533.27497556,48927.3045548,1.16852303,0.15198968,180.76561344,28.34505432,226.37256524
,,,0.46510621,13.03645795,0.05098429,1654.74151694,48912.38173056,1.13101176,0.15429862,182.98190116,28.477107,226.66685132
,,,0.46686727,13.87773227,0.05212174,1723.15379607,51206.69295308,1.13336664,0.15979874,190.75911134,34.27825427,240.17921656
116.36,2024.17,563.0,0.47359734,13.60218776,0.06194928,1834.72788609,52246.52230995,1.11805335,0.16014703,191.92768383,33.29326699,240.31866521
121.09,2052.7,673.58,0.48598773,14.84631098,0.05799823,1868.04878133,54824.11781138,1.19516106,0.17120558,203.63786522,32.86460519,293.46322088
119.98,2055.03,668.06,0.46316597,14.23108356,0.05600395,1799.16622355,56008.54940114,1.1350027,0.17288263,200.51685695,30.9670982,279.35802339
121.96,2114.77,699.6,0.45295964,15.99227934,0.05591786,1826.19498661,57805.12301924,1.12478953,0.19027201,201.25033709,31.02901176,289.79078867
121.03,2061.92,693.73,0.44113069,14.552142,0.05534893,1772.10247833,57332.08896391,1.03914391,0.19042917,220.82940067,31.00783836,263.68583121
,,,0.45992445,15.30880274,0.06243198,1924.68543997,61243.08476552,1.10331403,0.1982849,226.57829812,32.52656862,276.10469161
,,,0.44211151,14.50826599,0.0585919,1854.56437805,59302.31697742,1.05915359,0.18595251,215.29610435,30.7960226,264.63673926
123.99,2066.49,707.94,0.43755501,14.18666194,0.05708768,1791.70230241,55907.20022619,1.03353881,0.17529491,201.26461988,29.81665621,254.66082858
125.57,2092.52,676.88,0.46259998,13.62277289,0.0586074,1806.9717631,56804.90123161,1.24295254,0.19396525,201.04063659,29.93006336,258.10066992
124.76,2091.08,701.81,0.47241705,14.22020281,0.05765313,1823.44937973,58870.89333325,1.37867349,0.19739054,206.06792781,31.33999408,269.85484604
120.53,2036.22,653.16,0.47291937,14.23002516,0.05738277,1782.85512445,57858.92070527,1.23900607,0.22164099,200.53731095,30.02918318,261.70480662
119.99,2043.2,654.87,0.4711709,14.20479642,0.05832836,1817.62409241,58346.65297359,1.30216994,0.24316039,201.06371543,33.25638035,264.0574314
,,,0.52699085,14.21198148,0.05896063,1812.63460132,58313.64260857,1.20654146,0.21723303,200.80642376,32.19557077,264.74167667
,,,0.51983541,14.33220593,0.05723426,1788.21700883,57523.42098673,1.18914019,0.22248744,196.42775459,32.68374904,264.8861617
123.39,2038.59,670.0,0.54994159,14.91929305,0.0549616,1691.33401831,54529.14561107,1.10987396,0.21692594,187.07783543,32.96406372,255.9001907
122.54,2052.96,662.16,0.55659505,14.20483076,0.05355558,1678.65013849,54738.94493032,1.12155217,0.21459478,187.39396472,31.10017847,255.68967121
120.09,2045.06,630.27,0.48883678,13.66129764,0.05170175,1593.4134567,52774.26369049,1.07500238,0.2187281,177.65495515,27.59833762,249.85138142
120.59,2044.36,640.39,0.51749833,13.02508469,0.05144848,1595.359192,51704.1619252,1.10157403,0.20660372,173.06118625,26.67650097,234.88542998
121.21,2035.55,618.71,0.56705516,14.77942113,0.05395158,1702.84201957,55137.31372578,1.21396897,0.21313584,184.27867316,28.96528846,255.10456453
,,,0.55044347,16.50832188,0.05437709,1716.49461243,55973.51084173,1.17657685,0.20517853,184.83043819,28.13306028,269.10231416
,,,0.55075583,18.01623371,0.05369841,1691.35596451,55950.7457745,1.19112378,0.20367223,185.02849167,27.84012417,269.19128686
121.39,2055.95,611.29,0.56787082,18.85480803,0.05405164,1819.68496282,57750.19987147,1.20254105,0.21865378,194.47477728,29.12337236,275.21461939
119.9,2055.54,635.62,0.56685858,19.2339251,0.05390039,1846.03369779,58917.6930451,1.2133165,0.22157844,196.6820915,28.48761617,311.42649356
122.15,2068.63,667.93,0.57386946,19.46522941,0.05365728,1918.36206064,58918.83271375,1.19326443,0.216001,197.49909288,27.98652266,302.06345942
123.0,2137.75,661.75,0.57929188,19.08490113,0.06198606,1977.27688844,59095.80797806,1.18924435,0.22130489,204.11252259,28.73943227,335.21287849
